"telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"Szamosújlak","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Szanda","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Szank","HH","Kiskunmajsai","Bács-Kiskun","Dél-Alföld",0
"Szany","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Szaporca","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Szarvas","HH","Szarvasi","Békés","Dél-Alföld",0
"Szarvasgede","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Szarvaskend","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Szarvaskő","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Szatmárcseke","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Szatta","HH","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Szatymaz","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",0
"Szava","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Szebény","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Szederkény","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Szedres","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Szeged","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",1
"Szegerdő","HH","Marcali","Somogy","Dél-Dunántúl",0
"Szeghalom","LHH","Szeghalomi","Békés","Dél-Alföld",0
"Szegi","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szegilong","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szegvár","HH","Szentesi","Csongrád","Dél-Alföld",0
"Szekszárd","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Szeleste","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Szelevény","LHH","Kunszentmártoni","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Szellő","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Szemely","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Szemenye","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Szemere","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szendehely","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Szendrő","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",1
"Szendrőlád","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szenna","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",0
"Szenta","LHHK","Csurgói","Somogy","Dél-Dunántúl",0
"Szentantalfa","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Szentbalázs","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Szentborbás","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Szentbékkálla","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Szentdomonkos","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Szentdénes","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szente","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Szentegát","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szentendre","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",1
"Szentes","HH","Szentesi","Csongrád","Dél-Alföld",1
"Szentgotthárd","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Szentgyörgyvár","nem_hatranyos _besorolasu","Keszthelyi","Zala","Nyugat-Dunántúl",0
"Szentgyörgyvölgy","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Szentgál","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",0
"Szentgáloskér","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Szentimrefalva","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Szentistván","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szentistvánbaksa","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szentjakabfa","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Szentkatalin","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Szentkirály","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Szentkirályszabadja","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Szentkozmadombja","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Szentliszló","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Szentlászló","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szentlőrinc","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Szentlőrinckáta","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",0
"Szentmargitfalva","nem_hatranyos _besorolasu","Letenyei","Zala","Nyugat-Dunántúl",0
"Szentmártonkáta","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",1
"Szentpéterfa","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Szentpéterfölde","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Szentpéterszeg","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Szentpéterúr","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Szenyér","HH","Marcali","Somogy","Dél-Dunántúl",0
"Szepetnek","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Szerecseny","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Szeremle","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Szerencs","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szerep","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Szergény","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Szigetbecse","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigetcsép","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigethalom","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigetmonostor","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",0
"Szigetszentmiklós","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigetszentmárton","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigetvár","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szigetújfalu","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Szigliget","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Szihalom","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Szijártóháza","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Szikszó","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szil","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Szilaspogony","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Szilsárkány","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Szilvágy","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Szilvás","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Szilvásszentmárton","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",0
"Szilvásvárad","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Szilágy","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Szin","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szinpetri","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szirmabesenyő","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szirák","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Szob","HH","Szobi","Pest","Közép-magyarország",0
"Szokolya","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"Szolnok","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Szombathely","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",1
"Szomolya","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szomor","nem_hatranyos _besorolasu","Tatabányai","Komárom-Esztergom","Közép-Dunántúl",0
"Szomód","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",0
"Szorgalmatos","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Szorosad","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Szuha","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Szuhafő","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szuhakálló","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szuhogy","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szulimán","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szulok","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Szurdokpüspöki","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Szágy","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Szákszend","nem_hatranyos _besorolasu","Oroszlányi","Komárom-Esztergom","Közép-Dunántúl",0
"Szálka","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Szántód","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Szápár","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Szár","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Szárazd","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Szárföld","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Szárliget","nem_hatranyos _besorolasu","Tatabányai","Komárom-Esztergom","Közép-Dunántúl",0
"Szárász","HH","Komlói","Baranya","Dél-Dunántúl",0
"Szászberek","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Szászfa","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szászvár","HH","Komlói","Baranya","Dél-Dunántúl",0
"Szátok","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Százhalombatta","nem_hatranyos _besorolasu","Érdi","Pest","Közép-magyarország",0
"Szécsisziget","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Szécsénke","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Szécsény","LHH","Szécsényi","Nógrád","Észak-Magyarország",0
"Szécsényfelfalu","LHH","Szécsényi","Nógrád","Észak-Magyarország",0
"Székely","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Székelyszabar","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Székesfehérvár","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",1
"Székkutas","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",0
"Szólád","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",1
"Szögliget","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szörény","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Szúcs","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Szügy","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Szőc","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"Szőce","HH","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Sződ","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"Sződliget","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"Szőke","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Szőkedencs","HH","Marcali","Somogy","Dél-Dunántúl",0
"Szőkéd","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Szőlősardó","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Szőlősgyörök","LHHK","Lengyeltóti","Somogy","Dél-Dunántúl",0
"Szűcsi","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Szűr","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Ságvár","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"Ságújfalu","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Sály","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sámod","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Sámsonháza","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Sándorfalva","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",0
"Sántos","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Sáp","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Sárazsadány","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sárbogárd","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"Sáregres","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"Sárfimizdó","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Sárhida","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Sárisáp","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Sárkeresztes","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Sárkeresztúr","HH","Abai","Fejér","Közép-Dunántúl",0
"Sárkeszi","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Sármellék","nem_hatranyos _besorolasu","Hévízi","Zala","Nyugat-Dunántúl",0
"Sárok","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Sárosd","HH","Abai","Fejér","Közép-Dunántúl",0
"Sárospatak","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sárpilis","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Sárrétudvari","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Sárszentlőrinc","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Sárszentmihály","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Sárszentágota","HH","Abai","Fejér","Közép-Dunántúl",0
"Sárvár","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Sáránd","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"Sásd","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Sáska","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Sáta","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sátoraljaújhely","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sátorhely","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Sávoly","HH","Marcali","Somogy","Dél-Dunántúl",0
"Sé","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Sénye","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Sényő","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Sérsekszőlős","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Sóly","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",0
"Sóshartyán","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Sóskút","nem_hatranyos _besorolasu","Budaörsi","Pest","Közép-magyarország",0
"Sóstófalva","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Sósvertike","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Sótony","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Söjtör","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Söpte","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Söréd","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Súr","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Sükösd","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Sülysáp","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",0
"Sümeg","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Sümegcsehi","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Sümegprága","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Süttő","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",0
"Tab","LHH","Tabi","Somogy","Dél-Dunántúl",1
"Tabajd","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",1
"Tabdi","HH","Kiskőrösi","Bács-Kiskun","Dél-Alföld",0
"Tagyon","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Tahitótfalu","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",0
"Taksony","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Taktabáj","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Taktaharkány","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Taktakenéz","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Taktaszada","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Takácsi","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Taliándörögd","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Tamási","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Tanakajd","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Tapolca","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Tapsony","HH","Marcali","Somogy","Dél-Dunántúl",0
"Tar","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Tarany","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Tarcal","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tard","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tardona","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tardos","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",0
"Tarhos","LHH","Békési","Békés","Dél-Alföld",0
"Tarján","nem_hatranyos _besorolasu","Tatabányai","Komárom-Esztergom","Közép-Dunántúl",0
"Tarjánpuszta","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Tarnabod","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tarnalelesz","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Tarnaméra","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tarnaszentmiklós","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tarnaszentmária","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Tarnazsadány","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tarnaörs","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tarpa","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tarrós","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Tass","HH","Kunszentmiklósi","Bács-Kiskun","Dél-Alföld",0
"Taszár","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Tata","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",1
"Tatabánya","nem_hatranyos _besorolasu","Tatabányai","Komárom-Esztergom","Közép-Dunántúl",0
"Tataháza","LHHK","Bácsalmási","Bács-Kiskun","Dél-Alföld",0
"Tatárszentgyörgy","nem_hatranyos _besorolasu","Dabasi","Pest","Közép-magyarország",0
"Tekenye","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Teklafalu","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Telekes","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Telekgerendás","nem_hatranyos _besorolasu","Békéscsabai","Békés","Dél-Alföld",0
"Teleki","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Telki","nem_hatranyos _besorolasu","Budaörsi","Pest","Közép-magyarország",0
"Telkibánya","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tengelic","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Tengeri","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Tengőd","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Tenk","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Terem","LHHK","Nyírbátori","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tereske","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Teresztenye","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Terpes","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Terény","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Teskánd","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Tetétlen","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Tevel","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Tibolddaróc","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiborszállás","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tihany","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"Tikos","HH","Marcali","Somogy","Dél-Dunántúl",0
"Tilaj","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Timár","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tinnye","nem_hatranyos _besorolasu","Pilisvörösvári","Pest","Közép-magyarország",0
"Tiszaadony","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszaalpár","nem_hatranyos _besorolasu","Kiskunfélegyházai","Bács-Kiskun","Dél-Alföld",0
"Tiszabecs","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszabercel","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszabezdéd","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszabura","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszabábolna","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszabő","HH","Törökszentmiklósi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszacsege","LHH","Balmazújvárosi","Hajdú-Bihar","Észak-Alföld",0
"Tiszacsermely","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszacsécse","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszadada","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszaderzs","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszadob","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszadorogma","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszaeszlár","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszaföldvár","LHH","Kunszentmártoni","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszafüred","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",1
"Tiszagyenda","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszagyulaháza","HH","Polgári","Hajdú-Bihar","Észak-Alföld",0
"Tiszaigar","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszainoka","LHH","Kunszentmártoni","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszajenő","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszakanyár","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszakarád","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszakerecseny","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszakeszi","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",1
"Tiszakécske","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",1
"Tiszakóród","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszakürt","LHH","Kunszentmártoni","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Tiszaladány","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszalök","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszalúc","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Tiszamogyorós","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszanagyfalu","LHH","Tiszavasvári","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Tiszanána","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Tiszapalkonya","nem_hatranyos _besorolasu","Tiszaújvárosi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
